net,size,logtable,sizetable,logtree,sizetree,loglrdummy,sizelrdummy,logtreedummy,sizetreedummy,  loglgpair,sizelgpair,   logtreepair,sizetreepair,loglgld,sizelgld,  logtreeld,sizetreeld,loglgldpair,sizeldlgpair,logtreeldpair,sizetreeldpair
alarm.bif,500,-0.8637355579139645,72,-0.8958623700165134,30,-0.9410265922252286,18,-0.878420757576089,30,-0.911399879325951,21,-0.8824263868312537,21,-0.8693919025146344,24,-0.8611928028911415,18,-0.8660866170124278,23,-0.8611928028911415,18
alarm.bif,500,-0.3729022935978652,72,-0.3944586864858226,27,-0.434977763830602,14,-0.400788783730411,21,-0.3941302044812482,12,-0.37731743710838,21,-0.36646551336259897,20,-0.3789192128874872,21,-0.36709109970551046,22,-0.3789192128874872,21
alarm.bif,500,-0.8730899842429269,72,-0.884504348385698,36,-0.9450899898300741,22,-0.8665808538727173,30,-0.9145845499340663,22,-0.8792352073213003,24,-0.8701020645699588,26,-0.8812897107812422,24,-0.8701262021852821,23,-0.8811620893562054,24
alarm.bif,500,-0.3777867527980992,72,-0.3949717806149171,30,-0.438384734036694,14,-0.40520447021398115,24,-0.3755962043403957,18,-0.3855362147984071,24,-0.38002706571562817,21,-0.3962653906040386,21,-0.37515262903850305,25,-0.3962653906040386,21
alarm.bif,500,-0.8606383085517338,72,-0.8646502839334613,33,-0.9354697405892428,22,-0.8649862756629374,33,-0.903176634788551,21,-0.8622442330328828,27,-0.8649933265907853,25,-0.8626020906350492,27,-0.8662482421461023,24,-0.8661858680925819,24
alarm.bif,500,-0.3710884914576744,72,-0.3815407220071639,33,-0.4412490023485382,13,-0.40164010210315915,24,-0.39800344190857007,16,-0.3851467838952478,21,-0.37613163401269323,17,-0.39912481066463784,15,-0.37540338264539896,18,-0.39912481066463784,15
alarm.bif,500,-0.8650307199631608,72,-0.8753392588365705,36,-0.9363576708520519,20,-0.8719112776734436,30,-0.9363581264718887,20,-0.8719112776734436,30,-0.8627710972101319,23,-0.8675656097558043,21,-0.862762219555813,23,-0.8675656097558043,21
alarm.bif,500,-0.3702041559522618,72,-0.38313752341085644,33,-0.4395310822751342,16,-0.3993438860048131,24,-0.37012247310780516,19,-0.37502791321253864,24,-0.3653375790264771,20,-0.37647303773585133,21,-0.3646985838720649,24,-0.37647303773585133,21
alarm.bif,500,-0.8634755028449596,72,-0.8752094177495774,33,-0.9426862126146139,18,-0.8747727149429911,27,-0.9290290404531188,18,-0.8821886231219591,15,-0.8577226520914819,19,-0.8727931136035102,21,-0.85915385727757,18,-0.880242758909842,18
alarm.bif,500,-0.4091565090886863,72,-0.41759768091515054,30,-0.4704820825026982,17,-0.4340460398481583,21,-0.4704284556259878,17,-0.434066135688207,18,-0.40411388278035626,15,-0.42962804339231114,18,-0.40363938375007935,16,-0.4192703559759344,21
alarm.bif,500,-0.8671367491334567,72,-0.8771847828199716,27,-0.962302235779303,18,-0.8666972551823076,30,-0.9339796715747795,15,-0.8711722221560525,21,-0.884934710217077,22,-0.8604004062810691,18,-0.8792483596468151,20,-0.860412140940601,18
